"key";"de";"en"
"docono_company.title";"Firmen Infos";"Company Information"
"docono_company.save";"speichern";"save"
"docono_company.message.please_wait";"bitte warten";"please wait"
"docono_company.message.error.form_data_load";"Formulardaten konnten nicht geladen werden";"could not load form data"
"docono_company.message.error.xhr_failed";"Request fehlgeschlagen";"request failed"
"docono_company,nessage.error.updating_data_failed"; "saving data failed"; "speichern fehlgeschlagen"
"docono_company.message.successful_saved"; "successfully saved"; "erfolgreich gespeichert"
"docono_company.information";"Informationen";"information"
"docono_company.company";"Firma";"company"
"docono_company.company.name";"Name";"name"
"docono_company.company.address";"Adresse";"address"
"docono_company.company.town";"Ort";"town"
"docono_company.company.postal_code";"PLZ";"postal code"
"docono_company.company.region";"Region";"region"
"docono_company.company.country";"Land";"country"
"docono_company.company.telephone";"Telefon";"telephone"
"docono_company.company.email";"E-Mail";"e-mail"
"docono_company.company.description";"Beschreibung";"description"
"docono_company.opening_times";"Öffnungszeiten";"opening times"
"docono_company.coordinates";"Koordinaten";"coordinates"
"docono_company.coordinates.hasmap";"GMaps link";"GMaps link"
"docono_company.opening_times.closed";"geschlossen";"closed"
"docono_company.opening_times.opening";"öffnet";"opening"
"docono_company.opening_times.closing";"schliesst";"closing"
"Monday";"Montag";"Monday"
"Tuesday";"Dienstang";"Tuesday"
"Wednesday";"Mittwoch";"Wednesday"
"Thursday";"Donnerstag";"Thursday"
"Friday";"Freitag";"Friday"
"Saturday";"Samstag";"Saturday"
"Sunday";"Sonntag";"Sunday"
"docono_company.social_media";"Social Media";"social media"
"docono_company.advanced";"erweitert";"advanced"
"docono_company.schema.type";"Typ";"type"
"docono_company.schema.subtype";"Untertyp";"subtype"
"docono_company.schema.url";"URL";"URL"
"docono_company.schema.logo";"Logo";"logo"
"docono_company.schema.image";"Bild";"image"
